D:\Rahul\Learning\Udacity SRE nanodegree\nd087-c3-deployment-roulette\starter\apps>kubectl top pods
NAME                                 CPU(cores)   MEMORY(bytes)
bloaty-mcbloatface-9d8f7c958-66k66   1m           3Mi
bloaty-mcbloatface-9d8f7c958-8klrf   1m           3Mi
bloaty-mcbloatface-9d8f7c958-cdkd6   1m           3Mi
bloaty-mcbloatface-9d8f7c958-cn6zd   1m           3Mi
bloaty-mcbloatface-9d8f7c958-f9fsj   1m           3Mi
bloaty-mcbloatface-9d8f7c958-g4gng   1m           3Mi
bloaty-mcbloatface-9d8f7c958-jlnmh   1m           3Mi
bloaty-mcbloatface-9d8f7c958-k54ts   1m           3Mi
bloaty-mcbloatface-9d8f7c958-k62ns   1m           3Mi
bloaty-mcbloatface-9d8f7c958-km6dr   1m           3Mi
bloaty-mcbloatface-9d8f7c958-m4gn5   1m           3Mi
bloaty-mcbloatface-9d8f7c958-mv24z   1m           3Mi
bloaty-mcbloatface-9d8f7c958-ptkls   1m           3Mi
bloaty-mcbloatface-9d8f7c958-szhrf   1m           3Mi
bloaty-mcbloatface-9d8f7c958-t8lct   1m           3Mi
bloaty-mcbloatface-9d8f7c958-tjnzf   1m           3Mi
bloaty-mcbloatface-9d8f7c958-xl7lr   1m           3Mi
blue-68f654b6f9-ccww6                1m           3Mi
blue-68f654b6f9-fjk8c                1m           3Mi
blue-68f654b6f9-tfqbp                1m           3Mi
canary-v1-58cb5c49d-sgwv5            0m           2Mi
canary-v1-58cb5c49d-zkb2n            0m           2Mi
canary-v2-55647dff9d-hqbxx           0m           2Mi
canary-v2-55647dff9d-pl4df           0m           2Mi
green-7f5d485fc7-5gjs4               1m           3Mi
green-7f5d485fc7-crggp               1m           3Mi
green-7f5d485fc7-v7fp5               1m           3Mi
hello-world-844c8ccbb-5zpb4          2m           19Mi
