D:\Rahul\Learning\Udacity SRE nanodegree\nd087-c3-deployment-roulette\starter\apps\bloatware>kubectl get pods --all-namespaces
NAMESPACE     NAME                                 READY   STATUS    RESTARTS   AGE
kube-system   aws-node-5tz92                       2/2     Running   0          3m19s
kube-system   aws-node-6nx8r                       2/2     Running   0          16m
kube-system   aws-node-qclk6                       2/2     Running   0          18m
kube-system   aws-node-rs7qq                       2/2     Running   0          3m18s
kube-system   coredns-6b94694fcb-g2tct             1/1     Running   0          13m
kube-system   coredns-6b94694fcb-p6dx9             1/1     Running   0          13m
kube-system   kube-proxy-95z7q                     1/1     Running   0          18m
kube-system   kube-proxy-k9gh7                     1/1     Running   0          3m18s
kube-system   kube-proxy-rwxw8                     1/1     Running   0          16m
kube-system   kube-proxy-tk6h4                     1/1     Running   0          3m19s
udacity       bloaty-mcbloatface-9d8f7c958-66k66   1/1     Running   0          30s
udacity       bloaty-mcbloatface-9d8f7c958-8klrf   1/1     Running   0          30s
udacity       bloaty-mcbloatface-9d8f7c958-cdkd6   1/1     Running   0          30s
udacity       bloaty-mcbloatface-9d8f7c958-cn6zd   1/1     Running   0          30s
udacity       bloaty-mcbloatface-9d8f7c958-f9fsj   1/1     Running   0          30s
udacity       bloaty-mcbloatface-9d8f7c958-g4gng   1/1     Running   0          30s
udacity       bloaty-mcbloatface-9d8f7c958-jlnmh   1/1     Running   0          30s
udacity       bloaty-mcbloatface-9d8f7c958-k54ts   1/1     Running   0          30s
udacity       bloaty-mcbloatface-9d8f7c958-k62ns   1/1     Running   0          30s
udacity       bloaty-mcbloatface-9d8f7c958-km6dr   1/1     Running   0          30s
udacity       bloaty-mcbloatface-9d8f7c958-m4gn5   1/1     Running   0          30s
udacity       bloaty-mcbloatface-9d8f7c958-mv24z   1/1     Running   0          30s
udacity       bloaty-mcbloatface-9d8f7c958-ptkls   1/1     Running   0          30s
udacity       bloaty-mcbloatface-9d8f7c958-szhrf   1/1     Running   0          30s
udacity       bloaty-mcbloatface-9d8f7c958-t8lct   1/1     Running   0          30s
udacity       bloaty-mcbloatface-9d8f7c958-tjnzf   1/1     Running   0          30s
udacity       bloaty-mcbloatface-9d8f7c958-xl7lr   1/1     Running   0          30s
udacity       blue-68f654b6f9-ccww6                1/1     Running   0          18m
udacity       blue-68f654b6f9-fjk8c                1/1     Running   0          18m
udacity       blue-68f654b6f9-tfqbp                1/1     Running   0          16m
udacity       canary-v1-58cb5c49d-sgwv5            1/1     Running   0          16m
udacity       canary-v1-58cb5c49d-zkb2n            1/1     Running   0          18m
udacity       canary-v2-55647dff9d-hqbxx           1/1     Running   0          18m
udacity       canary-v2-55647dff9d-pl4df           1/1     Running   0          16m
udacity       green-7f5d485fc7-5gjs4               1/1     Running   0          16m
udacity       green-7f5d485fc7-crggp               1/1     Running   0          16m
udacity       green-7f5d485fc7-v7fp5               1/1     Running   0          18m
udacity       hello-world-844c8ccbb-5zpb4          1/1     Running   0          16m
